Fiscal Year,Requirement Description,Office Symbol,N=New R= Recompete,NAICS Code,Extent of Competition,Estimated Value,Incumbent Contractor,Length of Performance,Target Award Fiscal Year Quarter,Place of Performance if Outside US,Point of Contact Name,Point of Contact Email Address,Item Type,Path
FY 15,Management Analyst 1 Leahy Vetter,WHA/EX/ADM,R,541611 - Administrative Management and General Management Consulting Services,Certified HUBZone Small Business Competed,>$150K and <$500K,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Guy Mitchell,MitchellGR@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Justice Sector Support Program (JSSP) CivPol Closeout Costs Services, Capacity Building",INL/RM/GAPP,N,561210 - Facilities Support Services,Set Aside,>$5M and <$10M,N/A,Base Option Period (1yr),Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep);#Quarter 2 (Jan-Mar),Afghanistan,"Beitler, Rachael J",BeitlerRJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Fully Armored Vehicle B-6,INL/RM/GAPP,R,441110 - New Car Dealers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 4 (Jul-Sep);#Quarter 3 (Apr-Jun);#Quarter 2 (Jan-Mar);#Quarter 1 (Oct-Dec),Pakistan,"Bittle, Bridget C",BittleBC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Corrections System Support Program (CSSP)/Justice Center in Parwan (JCIP) Advisory and O&M Contract Services,INL/RM/GAPP,N,"541990 - All Other Professional, Scientific, and Technical Services",Set Aside,>$10M and <$20M,N/A,Base Option Period (1yr),Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep);#Quarter 2 (Jan-Mar),Afghanistan,"Boening, Emily",BoeningE1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Corrections System Support Program (CSSP) - CIVPOL; Advisory, Training, and Capacity Building  ",INL/RM/GAPP,N,561210 - Facilities Support Services,Set Aside,>$10M and <$20M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Afghanistan,"Boundy, Brendan T",BoeningE1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Night Vision Goggle, NVGs (Gen-III)",INL/RM/GAPP,N,333314 - Optical Instrument and Lens Manufacturing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Pakistan,"deMontluzin, Brooke E",deMontluzinBE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Long-range, High-performance Marine Interceptor, Law Enforcement Interceptor/Emergency Assistance/Rescue Watercraft, 41' Apostle T-Top",INL/RM/GAPP,N,336611 - Ship Building and Repairing,Set Aside,>$500K and <$1M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Bahamas,"Gilmore, Kristin M",GilmoreKM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Finger Print Platform, Investigative Equipment",INL/RM/GAPP,N,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Set Aside,>$1M and <$5M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Corrections System CIVPOL/Infrastructure Project Management Team (IPMT) Projects,INL/RM/GAPP,N,561210 - Facilities Support Services,Set Aside,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 4 (Jul-Sep);#Quarter 3 (Apr-Jun),Afghanistan,"Spangler, Christopher",SpanglerCM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Training Equipment for Canine Units, K9 Specific SUV ",INL/RM/GAPP,N,441110 - New Car Dealers,Set Aside,>$500K and <$1M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 4 (Jul-Sep);#Quarter 3 (Apr-Jun),Mexico,"Castillo, Roberto",CastilloR1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Technical Equipment for the New Financial Vetted Unit,INL/RM/GAPP,N,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Set Aside,>$500K and <$1M,N/A,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 2 (Jan-Mar),Panama,"Quinzada, Luis A",QuinzadaLA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Furniture and Office Fixtures for the New Financial Vetted Unit,INL/RM/GAPP,N,337211 - Wood Office Furniture Manufacturing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Panama,"Quinzada, Luis A",QuinzadaLA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Vehicles for the Different Police Units in the Eastern Carribean Region,INL/RM/GAPP,N,441110 - New Car Dealers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Barbados,"Albalak, Ron",AlbalakR2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Vehicle Maintenance Tools,INL/RM/GAPP,N,444130 - Hardware Stores,Set Aside,>$500K and <$1M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Various Capacity-Building Programs, Training",INL/RM/GAPP,N,611430 - Professional and Management Development Training,Set Aside,>$10M and <$20M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Mexico,"Langhenry, Matthew P",LanghenryMP@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Training Equipment, Shooting Simulators in Suupor of the Panamanina Public Security Institutions ",INL/RM/GAPP,N,333318 - Other Commercial and Service Industry Machinery Manufacturing,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Panama,"Alleyne, Archibold A",AlleyneAA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Furniture and Equipment for Nablus CRC,INL/RM/GAPP,N,337211 - Wood Office Furniture Manufacturing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,PCP Riot Gear,INL/RM/GAPP,N,315990 - Apparel Accessories and Other Apparel Manufacturing,Set Aside,>$1M and <$5M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Vehicles to be Donated to the Vetted Units for Surveillance,INL/RM/GAPP,N,441110 - New Car Dealers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 4 (Jul-Sep);#Quarter 3 (Apr-Jun),Panama,"Quinzada, Luis A",QuinzadaLA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Computer Equipment to be Donaterd to the Vetted Units,INL/RM/GAPP,N,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Panama,"Quinzada, Luis A",QuinzadaLA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Computer Equipment and Software to be Donated to the PNP,INL/RM/GAPP,N,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Panama,"Quinzada, Luis A",QuinzadaLA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,New and Used Vehicles to Include Sedans and SUV's for the GoJ,INL/RM/GAPP,N,441110 - New Car Dealers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 4 (Jul-Sep);#Quarter 3 (Apr-Jun),Jamaica,"Rex, Gary L",RexGL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Prevention Protocols for Schools - Teacher Workshops, Capacity Enhacement",INL/RM/GAPP,N,611430 - Professional and Management Development Training,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Costa Rica,"Calzada, Laura",CalzadaL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Ballistic Vests for the Security Forces, Correctional Services officers , Government of Jamaica forensic lab and INDECOM personnel",INL/RM/GAPP,N,315990 - Apparel Accessories and Other Apparel Manufacturing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A,"Rex, Gary L",RexGL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Professional Human Resource Services,CSO/EX,R,541612 - Human Resources Consulting Services,Women Owned Small Business Competed,>$150K and <$500K,Lindholm & Associates,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Office Furniture for Refurbished GoJ Office Spaces,INL/RM/GAPP,N,337211 - Wood Office Furniture Manufacturing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jamaica,"Rex, Gary L",RexGL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Spare Parts for Regional Security System (RSS) Aircraft,INL/RM/GAPP,N,"541712 - Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Barbados,"Albalak, Ron",AlbalakR2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Prevention Programs Equipment, Capacity Enhacement",INL/RM/GAPP,N,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Costa Rica,"Calzada, Laura",CalzadaL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Professional, Technical, and Administrative Program",CSO/EX,R,561110 - Office Administrative Services,8(a) Competitive,>$1M and <$5M,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Safe Community Equipment, Capacity Enhacement",INL/RM/GAPP,N,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Costa Rica,"Calzada, Laura",CalzadaL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Professional, Technical, and Aministrative Program",CSO/EX,R,561110 - Office Administrative Services,Service Disabled Veteran Owned Small Business Competed,>$1M and <$5M,MSDS Consultant Services,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Small Vessels for the GoJ Agencies with Maritime Responsibilities,INL/RM/GAPP,N,336611 - Ship Building and Repairing,Set Aside,>$1M and <$5M,N/A,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jamaica,"Rex, Gary L",RexGL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Professional Employee Support Services,CSO/EX,R,541618 - Other Management Consulting Services,Service Disabled Veteran Owned Small Business Competed,>$5M and <$10M,"Micro Systems Consultants, Inc. ",Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Professional Employee Support Services,CSO/EX,R,541618 - Other Management Consulting Services,Not Competed – Other Than Small Business,>$150K and <$500K,"Ian, Evan, & Alexander",Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Professional, Technical, and Administrative Program",CSO/EX,N,541720 - Research and Development in the Social Sciences and Humanities,Competitive - Full and Open,>$500K and <$1M,Integrity,Less than 12 Months,Quarter 4 (Jul-Sep),Turkey,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Professional, Technical, and Administrative Program",CSO/EX,N,541720 - Research and Development in the Social Sciences and Humanities,Competitive - Full and Open,>$150K and <$500K,Development & Training Services,Less than 12 Months,Quarter 4 (Jul-Sep),Honduras,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Professional, Technical, and Administrative Program",CSO/EX,N,541720 - Research and Development in the Social Sciences and Humanities,Competitive - Full and Open,>$150K and <$500K,Social Impact,Less than 12 Months,Quarter 4 (Jul-Sep),Burma,John Fedenisn,fedenisnjh@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Community Policing Proyects, Coalitions Improving Safe Communities, Office Furniture",INL/RM/GAPP,N,337211 - Wood Office Furniture Manufacturing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 4 (Jul-Sep),Costa Rica,"Calzada, Laura",CalzadaL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,SME Amman Office Personnel,INL/RM/GAPP,N,921190 - Other General Government Support,Set Aside,>$500K and <$1M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Prison Management Camara System,INL/RM/GAPP,N,334310 - Audio and Video Equipment Manufacturing,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),Costa Rica,"Villarreal, Carlos A",VillarrealCA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,XRay Machine for Airports,INL/RM/GAPP,N,"325992 - Photographic Film, Paper, Plate, and Chemical Manufacturing",Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),Panama,"Alleyne, Archibold A",AlleyneAA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Data Scientist,IIP/PR/AN,N,541690 - Other Scientific and Technical Consulting Services,8(a) Competitive,>$1M and <$5M,N/A,Base + 2 Option Periods (3yrs),Quarter 2 (Jan-Mar),N/A,Mike Zlaterich ,zlaterickm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Digital (Web) Strategy and Re-Design,IIP/PL/DE,N,"541990 - All Other Professional, Scientific, and Technical Services",Veteran Owned Small Business Competed,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Tom Conley ,conleyta@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Development Work to Implement a Risk Model Based on Certain Defined Criteria to be Applied to the Non Financial Data,INL/RM/GAPP,N,"541990 - All Other Professional, Scientific, and Technical Services",Set Aside,>$500K and <$1M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Mexico,"Niiranen, Monica",NiiranenM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ECTC center for INL Pre-Deployment Training,INL/RM/GAPP,N,"541990 - All Other Professional, Scientific, and Technical Services",Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A,"Henry-Plotts, Allison D",Henry-PlottsAD@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Specialized Investigation Equipment for the Public Ministry's Forensice Department,INL/RM/GAPP,N,334519 - Other Measuring and Controlling Device Manufacturing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Panama,"Quinzada, Luis A",QuinzadaLA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Criminal Justice Program Support Haiti,INL/RM/GAPP,N,561210 - Facilities Support Services,Set Aside,>$10M and <$20M,N/A,Base Option Period (1yr),Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),Haiti,"Tassy, Joseph",TassyJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Training and Equipment for Anti-Kidnapping Programs,INL/RM/GAPP,N,813410 - Civic and Social Organizations,Set Aside,>$10M and <$20M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Mexico,"Langhenry, Matthew P",LanghenryMP@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Drug Test Kits,INL/RM/GAPP,N,446199 - All Other Health and Personal Care Stores,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 4 (Jul-Sep);#Quarter 3 (Apr-Jun),Barbados,"Albalak, Ron",AlbalakR2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Laboratory Equipment to be Utilized by  Government of Jamaica,INL/RM/GAPP,N,446199 - All Other Health and Personal Care Stores,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jamaica,"Rex, Gary L",RexGL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
