"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R1-New England Region,Award Pending,"Construct Barrier Wall at the SSA Office in Littleton, NH",Littleton,NH,561230,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,500000,1000000,TBD,NA,NA,New Requirement,Non-GSA funded,2015-12-16,NA,FY 2016-2nd Quarter,Robert Budlong,robert.budlong@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Construct Barrier Wall at the SSA Office in Presque Isle, ME",Presque Isle,ME,561230,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,500000,1000000,TBD,NA,NA,New Requirement,Non-GSA funded,2016-01-16,NA,FY 2016-2nd Quarter,Robert Budlong,robert.budlong@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Perform elevator controls upgrade at the Norris Cotton Federal Building,Manchester,NH,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,0,0,TBD,NA,NA,New Requirement,GSA funded-PBS,2016-02-15,NA,FY 2016-2nd Quarter,Robert Budlong,robert.budlong@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Rudman Court Relocation ,Concord,NH,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,1376899,1376899,TBD,NA,NA,New Requirement,GSA funded-PBS,2016-07-01,NA,FY 2016-4th Quarter,Sotheavy Khon,sotheavy.khon@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Administrative Support Services ,Boston ,MA,561110,To Be Determined,Firm Fixed Price,Negotiated,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",0,0,NA,Patirot Technologies,GS-01-P-16-BW-D-7010,Recompete,GSA funded-PBS,2016-02-01,NA,FY 2016-3rd Quarter,Sotheavy Khon,sotheavy.khon@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Design Build O'Neill Building Automation System (BAS),Boston,MA,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,6500000,7000000,NA,NA,NA,New Requirement,GSA funded-PBS,2016-03-01,,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Design Build Upgrade O'Neill Fire Alarm System,Boston,MA,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,2800000,3000000,TBD,NA,NA,New Requirement,GSA funded-PBS,2016-03-01,,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,General Construction for the O'Neill Elevator Upgrades,Boston,MA,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,5250000,5750000,NA,NA,NA,New Requirement,GSA funded-PBS,2016-04-01,,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Construction Manager O'Neill Building Automation System (BAS),Boston,MA,541330,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,400000,450000,NA,,,New Requirement,GSA funded-PBS,2016-03-01,,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Construction Manager O'Neill Fire Alarm System,Boston,MA,541330,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,200000,250000,NA,,,New Requirement,GSA funded-PBS,2016-03-01,,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Construction Manager O'Neill Elevator Upgrades,Boston,MA,541330,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,400000,450000,NA,,,New Requirement,GSA funded-PBS,2016-04-01,,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Emergency Generator Replacement JFK Office Building ,Boston,MA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,300000,400000,NA,NA,NA,To Be Determined,GSA funded-PBS,2016-03-01,NA,FY 2016-3rd Quarter,John Sarnoski,john.sarnoski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Cooling Tower Replacement Moakley Courthouse ,Boston,MA,236220,Small Business,Firm Fixed Price,Contract,Full and Open Competition,600000,700000,NA,NA,NA,New Requirement,GSA funded-PBS,2016-03-15,,FY 2016-3rd Quarter,John Sarnoski,john.sarnoski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,DOL ETA Consolidation - JFK Building,Boston,MA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,300000,400000,NA,NA,NA,New Requirement,GSA funded-PBS,2016-08-01,,FY 2016-4th Quarter,John Sarnoski,john.sarnoski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Janitorial and Mechanical Maintenance Services,Little Rock,AR,5261210,Small Business,Firm Fixed Price,To Be Determined,Full and Open,0,0,NA,NA,NA,New Requirement,GSA funded-PBS,2015-08-01,,FY 2016-4th Quarter,Myrtis Robinson,myrtis.robinson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Janitorial,Little Rock,AR,561720,AbilityOne,Firm Fixed Price,To Be Determined,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,0,NA,"Pride Industries, Inc.",NA,Recompete,GSA funded-PBS,2016-01-15,,FY 2016-2nd Quarter,Myrtis Robinson,myrtis.robinson@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning," Fall Arrest System - Moakley Courthouse Boston, MA",Boston,MA,236220,To Be Determined,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,300000,350000,NA,NA,NA,New Requirement,GSA funded-PBS,2016-03-15,NA,FY 2016-2nd Quarter,John Sarnoski,john.sarnoski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Hydronic Piping Upgrade,Boston,MA,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,1200000,1500000,NA,NA,NA,New Requirement,GSA funded-PBS,2016-07-01,NA,FY 2016-4th Quarter,John Sarnoski,john.sarnoski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
FAS-Federal Acquisition Service,R1-New England Region,Planning,Program Office Support,Boston,MA,,To Be Determined,,Order under GSA Schedules Program,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,0,600000,GENCO,,Recompete,GSA funded-FAS,,,FY 2016-4th Quarter,Lorraine LaFluer,lorraine.LaFluer@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,Envelope upgrade - Conoidal Wall Moakley Courthouse,Boston,MA,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,900000,950000,NA,NA,NA,New Requirement,GSA funded-PBS,2016-01-27,NA,FY 2016-2nd Quarter,John Sarnoski,john.sarnoski@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,"U.S. Land Port of Entry, Derby Line, Vermont New Construction - Construction Manager as Constructor",Derby Line,VT,236220,Other Than Small,Firm Fixed Price,Negotiated,Full and Open,21000000,22000000,NA,NA,NA,New Requirement,GSA funded-PBS,2015-12-30,https://www.fbo.gov/spg/GSA/PBS/1PC/GS-01-P-16-BW-C-7001/listing.html,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Awarded,"U.S. Land Porty of Entry, Madawaska, Maine  Architectural Engineering Services for the Repair & Alteration",Madawaska,ME,541310,Woman-Owned Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,600000,850000,621619,NA,NA,New Requirement,GSA funded-PBS,2015-05-08,NA,FY 2016-1st Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"U.S. Land Porty of Entry, Madawaska,  Maine Repair & Alteration - Construction Manager & Commissioning Agent",Madawaska,ME,541310,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,240000,260000,TBD,NA,NA,New Requirement,GSA funded-PBS,2016-02-15,NA,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Award Pending,RWA Springfield Court House - USMS Cells/Elevator - Construction Contract,Springfield,MA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,14000000,1500000,TBD,NA,NA,New Requirement,Non-GSA funded,2015-10-30,https://www.fbo.gov/index?s=main&mode=list&tab=login&subtab=loginform&ft=0ae827bf69b56a5a5d81d4b16874845b,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,RWA Springfield Court House - USMS Cells/Elevator - Construction Manager & Commissioning Agent,Springfield,MA,541310,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,15000,25000,TBD,NA,NA,New Requirement,Non-GSA funded,2016-02-01,,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,DOS Renovations at the St. Albans Federal Building ,St. Albans,VT,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,153000,153000,TBD,NA,NA,New Requirement,GSA funded-PBS,2015-12-22,,FY 2016-2nd Quarter,Sotheavy Khon,sotheavy.khon@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"EFI & DESIGN: Construct Barrier Wall at the SSA Office in Montpelier, VT",Montpelier,VT,541310,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,15000,70000,TBD,NA,NA,New Requirement,Non-GSA funded,2016-02-28,NA,FY 2016-2nd Quarter,Robert Budlong,robert.budlong@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Construct Barrier Wall at the SSA Office in Montpelier, VT. ",Montpelier,VT,561230,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,500000,1000000,TBD,NA,NA,New Requirement,Non-GSA funded,2016-07-28,NA,FY 2016-4th Quarter,Robert Budlong,robert.budlong@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Miscellaneous Port Refresh upgrades, LPOE Ferry Point, Calais, ME",Calais,ME,236220,To Be Determined-IDIQ,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,500000,1000000,TBD,NA,TBD,New Requirement,GSA funded-PBS,2016-05-01,NA,FY 2016-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Emergency Generator Upgrade, Derby Line, Rte 5",Derby Line,VT,236220,To Be Determined-IDIQ,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order - Fair Opportunity Provided,100000,250000,TBD,NA,TBD,New Requirement,Non-GSA funded,2016-05-01,NA,FY 2016-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Space Alterations, USDA, St. Albans Federal Building",St. Albans,VT,236220,To Be Determined,Firm Fixed Price,Sealed Bid,To Be Determined,500000,1000000,TBD,NA,TBD,New Requirement,GSA funded-PBS,2016-07-15,NA,FY 2016-4th Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Operations & Maintenance reprocurement for 3 Federal Buildings in Burlington, VT, area.",Burlington,VT,238220,To Be Determined,Firm Fixed Price,Negotiated,To Be Determined,750000,1000000,TBD,"XL Mechanical, Inc.",GS-01P-09-BW-D-0039,Recompete,GSA funded-PBS,2016-03-01,TBD,FY 2016-4th Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Massena Potable Water Design ,MASSENA,NY,541330,Small Business,Firm Fixed Price,GSA Schedule,Set-Aside,25000,25000,25000,Bhandari,GS-02P-10-PW-D-0013,New Requirement,GSA funded-PBS,11/17/15 to 12/17/15,,FY 2016-2nd Quarter,Scott Gephardt,scott.gephardt@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",Only design will be awarded this year
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,USAO Stair Study,Newark,NJ,531310,To Be Determined-IDIQ,Firm Fixed Price,Negotiated,Competitive Delivery Order - Fair Opportunity Provided,25000,50000,,,,New REquirement,GSA Funded,TBD,N/A,FY 2016-3rd Quarter,Brian Burns,brian.burns@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Alex Bay LPOE CM MOD,"Alexandria Bay, NY",NY,531310,Other Than Small,Firm Fixed Price,Contract modification,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",200000,300000,,,,New Requirement,GSA funded-PBS,,,FY 2016-2nd Quarter,Sebastian Asaro,sebastian.asaro@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,UPS Emergency Electrical Power Distribution Reconfiguration,NEW YORK-MANHATTAN,NY,561210,To Be Determined,Firm Fixed Price,BPA Call or IDIQ,Follow On to Competed Action,240000,260000,,,,New Requirement,GSA funded-PBS,2015-11-01,,FY 2016-4th Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Air Handler Replacement,NEW YORK-MANHATTAN,NY,561210,Other Than Small,Firm Fixed Price,BPA Call,Follow On to Competed Action,255000,265000,,,,New Requirement,GSA funded-PBS,,NA,FY 2016-3rd Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,FBI 3rd Floor Space Renovations,BINGHAMTON,NY,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Definitive Contract,Set-Aside,270609,280000,,,To Be Determined,New Requirement,GSA funded-PBS,"Aug 30,2016",,FY 2016-3rd Quarter,Sebastian Asaro,sebastian.asaro@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",This Project is being managed by the PMO.  Sebastian Asaro is the CO
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Alexander Hamilton Customs House Water Infiltration Project,New York,NY,531310,To Be Determined-IDIQ,Firm Fixed Price,Negotiated,cOMpetitive Delivery Order - Fair Opportunity Provided,300000,500000,,,,New REquirement,GSA Funded,TBD,N/A,FY 2016-4th Quarter,Brian Burns,brian.burns@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Awarded,Thurgood Marshall Crack Study,New York,NY,531310,To Be Determined-IDIQ,Firm Fixed Price,Negotiated,Competitive Delivery Order - Fair Opportunity Provided,300000,500000,,,,New REquirement,GSA Funded,TBD,N/A,FY 2016-1st Quarter,Winnie Eng,winnie.eng@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,FEMA SPACE BUILDOUT DESIGN,New York,NY,531310,To Be Determined-IDIQ,Firm Fixed Price,Negotiated,Competitive Delivery Order - Fair Opportunity Provided,300000,500000,,,,New REquirement,GSA Funded,TBD,N/A,FY 2016-3rd Quarter,Megan Reed,megan.reed@gs.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Award Pending,Water and sewer line repairs,CHARLOTTE AMALIE,VI,541330,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",320000,360000,,,,New Requirement,GSA funded-PBS,2015-11-01,N/A,FY 2016-2nd Quarter,Olga Rodriguez,olga.rodriguez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,VFD Replacement and inspection,CENTRAL ISLIP,NY,541350,Small Business,Firm Fixed Price,IDIQ,Competitive,390000,410000,,Dewberry,,New Requirement,GSA funded-PBS,2016-02-01,,FY 2016-2nd Quarter,John Bellington,john.bellington@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",CO to request proposal for CIS services.  
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Varick Street DOL/Cosolidation,New York,NY,236220,Small Business,Firm Fixed Price,Order under IDV,cOMpetitive Delivery Order - Fair Opportunity Provided,400000,600000,TBD,TBD,TBD,New Requirement,GSA funded,TBD,NA,FY 2016-3rd Quarter,,,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Local Law 11 Facade Repairs Varick Street,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,IDIQ,Competitive,445000,460000,,,,New Requirement,GSA funded-PBS,2015-11-01,,FY 2016-3rd Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Solicitation Issued,Upgrade Electrical Distribution Panels,Newark,NJ,236220,Small Business,FFP,FBO,Full and opena fter exclusion,450000,550000,,,,New Requirement,GSA funded-PBS,1\02\2016,,FY 2016-3rd Quarter,David Cassert,david.cassert@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Repair & Sanitation of the A/C system,ST CROIX,VI,238220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",450000,540000,,,,New Requirement,GSA funded-PBS,TBD,N/A,FY 2016-4th Quarter,Olga Rodriguez,olga.rodriguez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,awarded,Mollo Federal Building,New York,NY,531310,Other Than Small,Firm Fixed Price,Negotiated,Competitive Delivery Order - Fair Opportunity Provided,500000,1000000,533698.07,"Perkins Eastman & JB&B, A Joint Venture",GS-02P-15-DT-D-7004/GS-P-02-15-DT-7009,New Requirement,GSA funded,,N/A,FY 2016-4th Quarter,Miriam Lopez,miriam.lopez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Awarded,Addabo Study,Jamaica,NY,531310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,cOMpetitive Delivery Order - Fair Opportunity Provided,500000,600000,678189,"Skidmore, Owings & Merrill LLP (SOM)",GS-02P-15-DT-D-7000/GS-P-02-16-DT-7029,New Requirement,GSA funded,,N/A,FY 2016-3rd Quarter,Miriam Lopez,miriam.lopez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Cooling Tower Overhaul Unit 2,NEW YORK-MANHATTAN,NY,561210,Other Than Small,Firm Fixed Price,BPA Call,Follow On to Competed Action,550000,650000,535983.75,LCOR Asset Management Ltd.,GS-P-02-16-PV-7014,New Requirement,GSA funded-PBS,2015-10-14,N/A,FY 2016-1st Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
