agency,estimated_fiscal_year,description,office,naics,socioeconomic,award-amount,estimated_fiscal_year_quarter,place_of_performance_state
state,FY 16,CHS Middle East,NEA-SCA,517919,Set Aside,>$10M and <$20M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),World Wide
state,FY 16,PAE Government Services,NEA-SCA,541611,Set Aside,>$1M and <$5M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Multiple
state,FY 16,Deloitte,NEA-SCA,541611,Set Aside,>$5M and <$10M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Multiple
state,FY 16,Dyna Corp International,NEA-SCA,541611,Set Aside,>$10M and <$20M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Multiple
state,FY 16,All Native,NEA-SCA,541611,Set Aside,>$500K and <$1M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Multiple
state,FY 16,Olgoonik,NEA-SCA,541611,Set Aside,>$500K and <$1M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Multiple
state,FY 16,CHU,NEA-SCA,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Multiple
state,FY 16,Chenega Logistics,NEA-SCA,541611,Set Aside,>$20M and <$50M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Multiple
state,FY 16,LMI Transition/Logistics Professional Professional Management,NEA-SCA,541611,Set Aside,>$1M and <$5M,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep);#Quarter 1 (Oct-Dec),World Wide
state,FY 16,BIM Data Architecture Development,OBO/RM/EX/IRM,541511,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Administrative and General Managemet Services,S/GAC,541611,TBD,>$5M and <$10M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Administrative and General Managemet Services,S\GAC,541611,TBD,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 15,Administrative and General Managemet Services,S/GAC,541611,TBD,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,Conference and Logistician,S/GAC,561499,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Facility and Management Operations,S/GAC,561210,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,Senior Project Coordinator,WHA/EX/ADM,541618,Service Disabled Veteran Owned Small Business Competed,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Management Analyst IV,WHA/EX/ADM,541613,Service Disabled Veteran Owned Small Business Competed,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,Management Analyst IV,WHA/EX/ADM,541618,Service Disabled Veteran Owned Small Business Competed,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,ProjNet Modernization,OBO/RM/EX/IRM,541511,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Cloud Computing Application Development,OBO/RM/EX/IRM,541511,Competitive - Full and Open,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Administrative & Professional Support (SPP),CT/EX,541611,Certified HUBZone Small Business Competed,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,I.T. Support  PAMS Principal Developer ,CT/EX,541511,Service Disabled Veteran Owned Small Business Competed,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Administrative & Professional Support (SPI),CT/EX,541611,Women Owned Small Business Competed,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Program Evaluation ,CT/EX,541611,Women Owned Small Business Competed,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 15,Program Evaluation ,CT/EX,541611,Service Disabled Veteran Owned Small Business Competed,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Program Evaluation ,CT/EX,541611,Certified HUBZone Small Business Competed,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Strategic Evaluation ,CT/EX,541611,Service Disabled Veteran Owned Small Business Competed,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 15,Travel and Financial Services and Support,OBO/RM/EX/MSD,561599,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Acquisition Support and PMO Administrative Support,CA/EX/GSD & CA/CST,541611,8(a) Competitive,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,"Business Requirements Analysis, Validation and Enhancement",CA/EX/GSD,541611,Competitive - Full and Open,>$100M and <$500M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Strategic Planning & Policy,CA/C,541611,Set Aside,>$1M and <$5M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Data Architecture and Financial Systems Analysis,CA/C,541618,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Administrative and Program Management Support,CA/OCS,541611,Set Aside,>$10M and <$20M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Over the phone interpretation ,CA/OCS,541930,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,Administrative and Program Management Support,CA/VO,541611,Set Aside,>$50M and <$100M,Quarter 1 (Oct-Dec),N/A
state,FY 16,9 FAM eVisas Support,CA/VO,541512,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Facilities Management,CA/PPT,541513,Set Aside,>$5M and <$10M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Headquarters Support,CA/PPT,541611,Set Aside,>$20M and <$50M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Cargo Detection Systems,ISN/NDF,334517,TBD,>$20M and <$50M,Quarter 4 (Jul-Sep),Egypt
state,FY 16,PPT Production/Labor,CA/PPT,541611,Competitive - Full and Open,>$100M and <$500M,Quarter 1 (Oct-Dec),N/A
state,FY 16,PPT Shredding,CA/PPT,561990,Competitive - Full and Open,>$10M and <$20M,Quarter 2 (Jan-Mar),N/A
state,FY 16,PPT Travel Card,CA/PPT,541490,Set Aside,>$50M and <$100M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Global Security Support Services,ISN/NDF,334290,Set Aside,>$1M and <$5M,Quarter 1 (Oct-Dec),Worldwide
state,FY 16,PPT Personalization - APT/TPC,CA/PPT,541611,Competitive - Full and Open,>$100M and <$500M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Web Based Acceptance Agent Training,CA/PPT,541611,Set Aside,>$5M and <$10M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Information Technology Governance,CA/CST,541512,8(a) Competitive,>$20M and <$50M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Site Construction for Existing Cargo Detetion Systems,ISN/NDF,236220,Sole Source,>$1M and <$5M,Quarter 2 (Jan-Mar),Egypt
state,FY 16,Service Transition Support,CA/CST,541512,8(a) Competitive,>$50M and <$100M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Site Construction for Existing Cargo Detetion Systems,ISN/NDF,236220,Sole Source,>$1M and <$5M,Quarter 2 (Jan-Mar),Worldwide
state,FY 16,Oracle Vault & SME Support,CA/CST,541519,Competitive - Full and Open,>$10M and <$20M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Information System Security Officer/Program,CA/CST,541512,8(a) Competitive,>$50M and <$100M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Biometric Systems Integration Services  (BIO SIS),CA/CST,541519,Competitive - Full and Open,>$50M and <$100M,Quarter 2 (Jan-Mar),N/A
state,FY 16,"Generators, X-ray, Manufacturing Existing Sites",ISN/NDF,334517,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),Egypt
state,FY 16,Service Operations Support Service (SOSS),CA/CST,541519,Competitive - Full and Open,>$50M and <$100M,Quarter 2 (Jan-Mar),Worldwide
state,FY 16,"Generators, X-ray, Manufacturing Future Sites",ISN/NDF,334517,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),Egypt
state,FY 16,Oracle Exadata Servers,CA/CST,541519,TBD,>$10M and <$20M,Quarter 1 (Oct-Dec),Worldwide
state,FY 16,Financial Accounting (COTS),CA/CST,541519,TBD,>$5M and <$10M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Data Warehouse (COTS,CA/CST,541519,TBD,>$5M and <$10M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Document Management (COTS),CA/CST,541519,TBD,>$5M and <$10M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Future Site Construction for Future Cargo Detection Systems,ISN/NDF,334517,Sole Source,>$5M and <$10M,Quarter 2 (Jan-Mar),Egypt
state,FY 16,High Availability (COTS),CA/CST,541519,TBD,>$5M and <$10M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Sodium Processing Facility Pumps and Valves,ISN/NDF,332911,Competitive - Full and Open,>$150K and <$500K,Quarter 2 (Jan-Mar),Kazakhstan
state,FY 16,Financial Information System Support,ISN/NDF,541519,Competitive - Full and Open,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Global Partnership Support Services,S/GP,541611,Set Aside,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Audit Support Services,CGFS/DCFO/FPRA,541219,Set Aside,>$5M and <$10M,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),N/A
state,FY 16,"Software Development, Modernization & Enhancement",CGFS/D/GFMS/SDM,541519,Set Aside,>$20M and <$50M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Information Technology/Network/SharePoint Support,CGFS/EX/IT,541519,Set Aside,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,ICASS Customer Satisfaction Survey,CGFS/ICASS,541910,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,IDox Solutions - (2) Onsite Administrators / Subject Matter Experts,CGFS/EX/ADO,561110,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Cetan Corp - Control M Software Support,CGFS/EX/ADO,561110,Veteran Owned Small Business Sole Source,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,NetApp Hardware/Software Storage Shelves & Maintenance,CGFS/EX/ADO,334112,Set Aside,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Compensation and Financial Systems IV&V and Analysis Services,CGFS/DCFO/GFMS,541519,Competitive - Full and Open,>$100M and <$500M,Quarter 3 (Apr-Jun),N/A
state,FY 16,"Software Development, Modernization & Enhancement",CGFS/DCFO/GFMS,541519,Set Aside,>$50M and <$100M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Ankara NEC - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 4 (Jul-Sep),Turkey
state,FY 16,Asuncion NEC - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 4 (Jul-Sep),Paraguay
state,FY 16,Baghdad Diplomatic Support Center Security Upgrade - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),Iraq
state,FY 16,Baghdad Diplomatic Support Center Security Upgrade - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$5M and <$10M,Quarter 4 (Jul-Sep),Iraq
state,FY 16,Baghdad Security Upgrade - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Iraq
state,FY 16,Baghdad Security Upgrade - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$20M and <$50M,Quarter 4 (Jul-Sep),Iraq
state,FY 16,Brasilia NEC - Design,M/OBO/PDCS/PDC,541310,Competitive - Full and Open,>$20M and <$50M,Quarter 3 (Apr-Jun),Brazil
state,FY 16,Brussels Compound Security Upgrade - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 2 (Jan-Mar),Belgium
state,FY 16,Brussels DCMR - Design,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 4 (Jul-Sep),Belgium
state,FY 16,Brussels NEC - Predesign,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 4 (Jul-Sep),Belgium
state,FY 16,Cairo CA Survey,M/OBO/PDCS/PDC,541310,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),Egypt
state,FY 16,Casablanca NCC - Design,M/OBO/PDCS/PDC,541310,TBD,>$10M and <$20M,Quarter 4 (Jul-Sep),Morocco
state,FY 16,Chengdu Compound Staff Housing - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$10M and <$20M,Quarter 4 (Jul-Sep),China
state,FY 16,Chennai Renovations in Consular Section - Design/Build Award,M/OBO/PDCS/PDC,236220,TBD,>$10M and <$20M,Quarter 2 (Jan-Mar),India
state,FY 16,Chiang Mai - Predesign A/E Services Award,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),Thailand
state,FY 16,Colombo NEC - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 2 (Jan-Mar),Sri lanka
state,FY 16,Dhahran NCC - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 4 (Jul-Sep),Saudi Arabia
state,FY 16,Dhaka CA & Security Rehabilitation - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$10M and <$20M,Quarter 4 (Jul-Sep),Bangladesh
state,FY 16,Dhaka CA & Security Rehabilitation - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),Bangladesh
state,FY 16,Erban Phase 3 - Design,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),China
state,FY 16,Freetown New MSGQ - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$20M and <$50M,Quarter 1 (Oct-Dec),Sierra Leone
state,FY 16,Guadalajara NCC - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$5M and <$10M,Quarter 1 (Oct-Dec),Mexico
state,FY 16,Guatemala City NEC - Design/Build,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 4 (Jul-Sep),Guatemala
state,FY 16,Hanoi NEC - Predesign,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Vietnam
state,FY 16,Havana CSU & Consular Renovation - Design Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),Cuba
state,FY 16,Hermosillo NCC - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$10M and <$20M,Quarter 2 (Jan-Mar),Mexico
state,FY 16,Ankara NEC - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 4 (Jul-Sep),Turkey
state,FY 16,Nassau NEC - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$10M and <$20M,Quarter 2 (Jan-Mar),Mexico
state,FY 16,Asuncion NEC - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 4 (Jul-Sep),Paraguay
state,FY 16,Nicosia Security Upgrade - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),Cyprus
state,FY 16,Nogales NCC - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Mexico
state,FY 16,Paris Bldg A Sanitary Drain Pipes - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$5M and <$10M,Quarter 4 (Jul-Sep),France
state,FY 16,Paris Chancery Rehab - Predesign,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),France
state,FY 16,Prague Security Upgrade - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$10M and <$20M,Quarter 2 (Jan-Mar),Czech Republic
state,FY 16,Jerusalem Arnona NOX 2nd Phase - Predesign A/E Services Award,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),Israel
state,FY 16,Jerusalem NOB - Design/Bid/Build,M/OBO/PDCS/PDC,541310,TBD,>$5M and <$10M,Quarter 2 (Jan-Mar),Israel
state,FY 16,Project Management Support,M/OBO/PDCS/PDC,541690,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Johannesburg MSGR - Design/Build Award,M/OBO/PDCS/PDC,236220,TBD,>$5M and <$10M,Quarter 4 (Jul-Sep),Africa
state,FY 16,Juba NEC - Predesign,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 3 (Apr-Jun),South Sudan
state,FY 16,Kabul Camp Alvarado Phase 3 - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 4 (Jul-Sep),Afghanistan
state,FY 16,Project Management Support,M/OBO/PDCS/PDC,541690,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Kampala NOX - Design,M/OBO/PDCS/PDC,541310,TBD,>$20M and <$50M,Quarter 1 (Oct-Dec),Uganda
state,FY 16,Project Management Support,M/OBO/PDCS/PDC,541690,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Kingstown CA Survey,M/OBO/PDCS/PDC,541310,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),St. Vincent and the Grenadines
state,FY 16,Kinshasa NEC - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$10M and <$20M,Quarter 4 (Jul-Sep),Republic of Congo
state,FY 16,Project Management Support,M/OBO/PDCS/PDC,541690,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Kinshasa NEC - Predesign A/E Services Award,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Republic of Congo
state,FY 16,Project Management Support,M/OBO/PDCS/PDC,541690,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Madrid CA Remodel the Consular Waiting Area - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$500K and <$1M,Quarter 2 (Jan-Mar),Spain
state,FY 16,Quito CMR Seismic - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 4 (Jul-Sep),Ecuador
state,FY 16,Recife Consular Relocation (LFO) - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$50M and <$100M,Quarter 3 (Apr-Jun),Brazil
state,FY 16,Madrid Security Upgrade - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$5M and <$10M,Quarter 4 (Jul-Sep),Spain
state,FY 16,"Rio De Janeiro PCC, Chilled Water & Electrical - Construction Award",M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$10M and <$20M,Quarter 4 (Jul-Sep),Brazil
state,FY 16,Managua CA Survey,M/OBO/PDCS/PDC,541310,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),Nicaragua
state,FY 16,Managua CMR - Predesign,M/OBO/PDCS/PDC,541310,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),Nicaragua
state,FY 16,"Rio De Janeiro PCC, Chilled Water & Electrical - Design Award",M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),Brazil
state,FY 16,"Rio De Janeiro PCC, Chilled Water & Electrical - Predesign",M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),Brazil
state,FY 16,Manila - Chancery Rehab - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$100M and <$500M,Quarter 3 (Apr-Jun),Philippines
state,FY 16,Riyadh NEC - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$5M and <$10M,Quarter 4 (Jul-Sep),Saudi Arabia
state,FY 16,Merida NCC - Predesign,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Mexico
state,FY 16,Rome Security Upgrade - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$5M and <$10M,Quarter 1 (Oct-Dec),Italy
state,FY 16,San Salvador CA Expansion - Bridging,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),El Salvador
state,FY 16,San Salvador CA Expansion - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$10M and <$20M,Quarter 4 (Jul-Sep),El Salvador
state,FY 16,"Monterrey Fence, Consular Canopy & Drainage - Construction Award",M/OBO/PDCS/PDC,236220,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),Mexico
state,FY 16,Montevideo Chancery Rehab - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$50M and <$100M,Quarter 4 (Jul-Sep),Uruguay
state,FY 16,Moscow CMP Housing Renovation - Design,M/OBO/PDCS/PDC,541310,TBD,>$5M and <$10M,Quarter 1 (Oct-Dec),Russia
state,FY 16,Moscow Compound Renovation - Design,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Russia
state,FY 16,Sanban CMR - Design,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),China
state,FY 16,Sarajevo Banja-Luka EBO CSU - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 4 (Jul-Sep),Bosnia and Herzegovina
